run_id,timestamp,machine_name,machine_model,git_branch,git_sha,git_state,worktree_fingerprint,metric,terminal_host,workspace_scope,sample_count,avg_ms,min_ms,max_ms,samples_ms
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,terminal_untracked_tab.cli_window_focus.process_tracked_tab,ghostty,single,1,136.0,136,136,136
2026-05-01T18:21:04Z-efe7ae6b2b12-dirty-a59685e1974b-yogesh-mac-2024,2026-05-01T18:21:04Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,a59685e1974b997b5f02c049cf09e77c5b58b1b1e38a36f45efccca462e5f560,terminal_untracked_tab.cli_window_focus.process_tracked_tab,iterm2,single,1,248.0,248,248,248
2026-05-01T18:24:20Z-efe7ae6b2b12-dirty-b24b106ffdf2-yogesh-mac-2024,2026-05-01T18:24:20Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,b24b106ffdf201ea35f93bbfb13c5c41ac20d94c60c3a9263de25b8ec124606a,external_app.keyboard_toggle_main_window.main_window,iterm2,single,3,133.3,117,150,"117,133,150"
2026-05-01T18:24:20Z-efe7ae6b2b12-dirty-b24b106ffdf2-yogesh-mac-2024,2026-05-01T18:24:20Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,b24b106ffdf201ea35f93bbfb13c5c41ac20d94c60c3a9263de25b8ec124606a,external_app.keyboard_toggle_palette.palette,iterm2,single,3,133.3,132,135,"132,135,133"
2026-05-01T18:24:20Z-efe7ae6b2b12-dirty-b24b106ffdf2-yogesh-mac-2024,2026-05-01T18:24:20Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,b24b106ffdf201ea35f93bbfb13c5c41ac20d94c60c3a9263de25b8ec124606a,main_window.keyboard_toggle_main_window.external_app,iterm2,single,3,0.0,0,0,"0,0,0"
2026-05-01T18:24:20Z-efe7ae6b2b12-dirty-b24b106ffdf2-yogesh-mac-2024,2026-05-01T18:24:20Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,b24b106ffdf201ea35f93bbfb13c5c41ac20d94c60c3a9263de25b8ec124606a,main_window.keyboard_toggle_palette.palette,iterm2,single,3,1023.0,1021,1026,"1022,1026,1021"
2026-05-01T18:24:20Z-efe7ae6b2b12-dirty-b24b106ffdf2-yogesh-mac-2024,2026-05-01T18:24:20Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,b24b106ffdf201ea35f93bbfb13c5c41ac20d94c60c3a9263de25b8ec124606a,palette.keyboard_toggle_palette.external_app,iterm2,single,3,3.7,3,4,"4,3,4"
2026-05-01T18:24:20Z-efe7ae6b2b12-dirty-b24b106ffdf2-yogesh-mac-2024,2026-05-01T18:24:20Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,b24b106ffdf201ea35f93bbfb13c5c41ac20d94c60c3a9263de25b8ec124606a,palette.keyboard_toggle_palette.main_window,iterm2,single,3,5.7,5,7,"7,5,5"
2026-05-01T18:43:55Z-efe7ae6b2b12-dirty-c6593eebda54-yogesh-mac-2024,2026-05-01T18:43:55Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,c6593eebda54e6419418eb61eee8b67a6a088f0794204a1b1a7e83759574444e,external_app.keyboard_toggle_main_window.main_window,ghostty,single,3,122.3,112,129,"112,129,126"
2026-05-01T18:43:55Z-efe7ae6b2b12-dirty-c6593eebda54-yogesh-mac-2024,2026-05-01T18:43:55Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,c6593eebda54e6419418eb61eee8b67a6a088f0794204a1b1a7e83759574444e,external_app.keyboard_toggle_main_window.main_window,iterm2,single,3,138.7,131,143,"142,143,131"
2026-05-01T18:43:55Z-efe7ae6b2b12-dirty-c6593eebda54-yogesh-mac-2024,2026-05-01T18:43:55Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,c6593eebda54e6419418eb61eee8b67a6a088f0794204a1b1a7e83759574444e,external_app.keyboard_toggle_palette.palette,ghostty,single,3,133.0,126,142,"126,131,142"
2026-05-01T18:43:55Z-efe7ae6b2b12-dirty-c6593eebda54-yogesh-mac-2024,2026-05-01T18:43:55Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,c6593eebda54e6419418eb61eee8b67a6a088f0794204a1b1a7e83759574444e,external_app.keyboard_toggle_palette.palette,iterm2,single,3,136.0,132,138,"132,138,138"
2026-05-01T18:43:55Z-efe7ae6b2b12-dirty-c6593eebda54-yogesh-mac-2024,2026-05-01T18:43:55Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,c6593eebda54e6419418eb61eee8b67a6a088f0794204a1b1a7e83759574444e,main_window.keyboard_toggle_main_window.external_app,ghostty,single,3,0.0,0,0,"0,0,0"
2026-05-01T18:43:55Z-efe7ae6b2b12-dirty-c6593eebda54-yogesh-mac-2024,2026-05-01T18:43:55Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,c6593eebda54e6419418eb61eee8b67a6a088f0794204a1b1a7e83759574444e,main_window.keyboard_toggle_main_window.external_app,iterm2,single,3,0.0,0,0,"0,0,0"
2026-05-01T18:43:55Z-efe7ae6b2b12-dirty-c6593eebda54-yogesh-mac-2024,2026-05-01T18:43:55Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,c6593eebda54e6419418eb61eee8b67a6a088f0794204a1b1a7e83759574444e,main_window.keyboard_toggle_palette.palette,ghostty,single,3,1022.7,1022,1023,"1023,1023,1022"
2026-05-01T18:43:55Z-efe7ae6b2b12-dirty-c6593eebda54-yogesh-mac-2024,2026-05-01T18:43:55Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,c6593eebda54e6419418eb61eee8b67a6a088f0794204a1b1a7e83759574444e,main_window.keyboard_toggle_palette.palette,iterm2,single,3,1021.0,1014,1025,"1014,1024,1025"
2026-05-01T18:43:55Z-efe7ae6b2b12-dirty-c6593eebda54-yogesh-mac-2024,2026-05-01T18:43:55Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,c6593eebda54e6419418eb61eee8b67a6a088f0794204a1b1a7e83759574444e,palette.keyboard_toggle_palette.external_app,ghostty,single,3,4.3,3,6,"3,4,6"
2026-05-01T18:43:55Z-efe7ae6b2b12-dirty-c6593eebda54-yogesh-mac-2024,2026-05-01T18:43:55Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,c6593eebda54e6419418eb61eee8b67a6a088f0794204a1b1a7e83759574444e,palette.keyboard_toggle_palette.external_app,iterm2,single,3,3.7,3,4,"3,4,4"
2026-05-01T18:43:55Z-efe7ae6b2b12-dirty-c6593eebda54-yogesh-mac-2024,2026-05-01T18:43:55Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,c6593eebda54e6419418eb61eee8b67a6a088f0794204a1b1a7e83759574444e,palette.keyboard_toggle_palette.main_window,ghostty,single,3,5.3,5,6,"6,5,5"
2026-05-01T18:43:55Z-efe7ae6b2b12-dirty-c6593eebda54-yogesh-mac-2024,2026-05-01T18:43:55Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,c6593eebda54e6419418eb61eee8b67a6a088f0794204a1b1a7e83759574444e,palette.keyboard_toggle_palette.main_window,iterm2,single,3,4.7,4,6,"4,4,6"
2026-05-01T18:45:50Z-efe7ae6b2b12-dirty-1763ffb421df-yogesh-mac-2024,2026-05-01T18:45:50Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,1763ffb421dfe04d9805695c2988b5d6bb5b1acb59a1ab6adc992dc5bb561c68,external_app.keyboard_toggle_main_window.main_window,ghostty,single,3,131.3,114,157,"114,157,123"
2026-05-01T18:45:50Z-efe7ae6b2b12-dirty-1763ffb421df-yogesh-mac-2024,2026-05-01T18:45:50Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,1763ffb421dfe04d9805695c2988b5d6bb5b1acb59a1ab6adc992dc5bb561c68,external_app.keyboard_toggle_main_window.main_window,iterm2,single,3,126.3,117,131,"131,117,131"
2026-05-01T18:45:50Z-efe7ae6b2b12-dirty-1763ffb421df-yogesh-mac-2024,2026-05-01T18:45:50Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,1763ffb421dfe04d9805695c2988b5d6bb5b1acb59a1ab6adc992dc5bb561c68,external_app.keyboard_toggle_palette.palette,ghostty,single,3,4.7,4,5,"5,5,4"
2026-05-01T18:45:50Z-efe7ae6b2b12-dirty-1763ffb421df-yogesh-mac-2024,2026-05-01T18:45:50Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,1763ffb421dfe04d9805695c2988b5d6bb5b1acb59a1ab6adc992dc5bb561c68,external_app.keyboard_toggle_palette.palette,iterm2,single,3,10.0,6,17,"17,6,7"
2026-05-01T18:45:50Z-efe7ae6b2b12-dirty-1763ffb421df-yogesh-mac-2024,2026-05-01T18:45:50Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,1763ffb421dfe04d9805695c2988b5d6bb5b1acb59a1ab6adc992dc5bb561c68,main_window.keyboard_toggle_main_window.external_app,ghostty,single,3,0.0,0,0,"0,0,0"
2026-05-01T18:45:50Z-efe7ae6b2b12-dirty-1763ffb421df-yogesh-mac-2024,2026-05-01T18:45:50Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,1763ffb421dfe04d9805695c2988b5d6bb5b1acb59a1ab6adc992dc5bb561c68,main_window.keyboard_toggle_main_window.external_app,iterm2,single,3,0.0,0,0,"0,0,0"
2026-05-01T18:45:50Z-efe7ae6b2b12-dirty-1763ffb421df-yogesh-mac-2024,2026-05-01T18:45:50Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,1763ffb421dfe04d9805695c2988b5d6bb5b1acb59a1ab6adc992dc5bb561c68,main_window.keyboard_toggle_palette.palette,ghostty,single,3,5.3,5,6,"5,5,6"
2026-05-01T18:45:50Z-efe7ae6b2b12-dirty-1763ffb421df-yogesh-mac-2024,2026-05-01T18:45:50Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,1763ffb421dfe04d9805695c2988b5d6bb5b1acb59a1ab6adc992dc5bb561c68,main_window.keyboard_toggle_palette.palette,iterm2,single,3,7.0,6,8,"8,7,6"
2026-05-01T18:45:50Z-efe7ae6b2b12-dirty-1763ffb421df-yogesh-mac-2024,2026-05-01T18:45:50Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,1763ffb421dfe04d9805695c2988b5d6bb5b1acb59a1ab6adc992dc5bb561c68,palette.keyboard_toggle_palette.external_app,ghostty,single,3,3.7,3,5,"5,3,3"
2026-05-01T18:45:50Z-efe7ae6b2b12-dirty-1763ffb421df-yogesh-mac-2024,2026-05-01T18:45:50Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,1763ffb421dfe04d9805695c2988b5d6bb5b1acb59a1ab6adc992dc5bb561c68,palette.keyboard_toggle_palette.external_app,iterm2,single,3,3.3,3,4,"4,3,3"
2026-05-01T18:45:50Z-efe7ae6b2b12-dirty-1763ffb421df-yogesh-mac-2024,2026-05-01T18:45:50Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,1763ffb421dfe04d9805695c2988b5d6bb5b1acb59a1ab6adc992dc5bb561c68,palette.keyboard_toggle_palette.main_window,ghostty,single,3,3.7,3,4,"4,4,3"
2026-05-01T18:45:50Z-efe7ae6b2b12-dirty-1763ffb421df-yogesh-mac-2024,2026-05-01T18:45:50Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,1763ffb421dfe04d9805695c2988b5d6bb5b1acb59a1ab6adc992dc5bb561c68,palette.keyboard_toggle_palette.main_window,iterm2,single,3,4.0,4,4,"4,4,4"
2026-05-01T18:47:40Z-efe7ae6b2b12-dirty-6b8b0369170a-yogesh-mac-2024,2026-05-01T18:47:40Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,6b8b0369170a9dc54b38b789f84645f544d55adfb0ad4403b8b5c64c71b2af7c,external_app.keyboard_toggle_main_window.main_window,iterm2,single,1,120.0,120,120,120
2026-05-01T18:47:40Z-efe7ae6b2b12-dirty-6b8b0369170a-yogesh-mac-2024,2026-05-01T18:47:40Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,6b8b0369170a9dc54b38b789f84645f544d55adfb0ad4403b8b5c64c71b2af7c,external_app.keyboard_toggle_palette.palette,iterm2,single,1,18.0,18,18,18
2026-05-01T18:47:40Z-efe7ae6b2b12-dirty-6b8b0369170a-yogesh-mac-2024,2026-05-01T18:47:40Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,6b8b0369170a9dc54b38b789f84645f544d55adfb0ad4403b8b5c64c71b2af7c,main_window.keyboard_toggle_main_window.external_app,iterm2,single,1,0.0,0,0,0
2026-05-01T18:47:40Z-efe7ae6b2b12-dirty-6b8b0369170a-yogesh-mac-2024,2026-05-01T18:47:40Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,6b8b0369170a9dc54b38b789f84645f544d55adfb0ad4403b8b5c64c71b2af7c,main_window.keyboard_toggle_palette.palette,iterm2,single,1,6.0,6,6,6
2026-05-01T18:47:40Z-efe7ae6b2b12-dirty-6b8b0369170a-yogesh-mac-2024,2026-05-01T18:47:40Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,6b8b0369170a9dc54b38b789f84645f544d55adfb0ad4403b8b5c64c71b2af7c,palette.keyboard_toggle_palette.external_app,iterm2,single,1,4.0,4,4,4
2026-05-01T18:47:40Z-efe7ae6b2b12-dirty-6b8b0369170a-yogesh-mac-2024,2026-05-01T18:47:40Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,6b8b0369170a9dc54b38b789f84645f544d55adfb0ad4403b8b5c64c71b2af7c,palette.keyboard_toggle_palette.main_window,iterm2,single,1,3.0,3,3,3
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,ghostty,primary,1,149.0,149,149,149
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,ghostty,secondary,1,149.0,149,149,149
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,ghostty,single,1,132.0,132,132,132
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,iterm2,primary,1,145.0,145,145,145
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,iterm2,secondary,1,145.0,145,145,145
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,browser_tracked_tab.keyboard_cycle_previous.terminal_tracked_tab,iterm2,single,1,131.0,131,131,131
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,browser_untracked_tab.cli_window_focus.browser_tracked_tab,ghostty,single,1,246.0,246,246,246
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,browser_untracked_tab.cli_window_focus.browser_tracked_tab,iterm2,single,1,252.0,252,252,252
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,external_app.keyboard_toggle_main_window.main_window,ghostty,single,5,129.0,115,134,"115,133,132,131,134"
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,external_app.keyboard_toggle_main_window.main_window,iterm2,single,5,126.8,114,139,"114,139,127,119,135"
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,external_app.keyboard_toggle_palette.palette,ghostty,single,5,4.2,3,5,"4,3,5,5,4"
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,external_app.keyboard_toggle_palette.palette,iterm2,single,5,7.2,5,16,"16,5,5,5,5"
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,main_window.keyboard_toggle_main_window.external_app,ghostty,single,5,0.0,0,0,"0,0,0,0,0"
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,main_window.keyboard_toggle_main_window.external_app,iterm2,single,5,0.4,0,2,"0,0,0,2,0"
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,main_window.keyboard_toggle_palette.palette,ghostty,single,5,5.6,5,7,"5,5,7,6,5"
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,main_window.keyboard_toggle_palette.palette,iterm2,single,5,6.2,5,10,"10,5,6,5,5"
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,palette.keyboard_toggle_palette.external_app,ghostty,single,5,4.0,4,4,"4,4,4,4,4"
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,palette.keyboard_toggle_palette.external_app,iterm2,single,5,3.6,3,4,"4,4,3,4,3"
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,palette.keyboard_toggle_palette.main_window,ghostty,single,5,4.0,4,4,"4,4,4,4,4"
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,palette.keyboard_toggle_palette.main_window,iterm2,single,5,4.4,4,6,"4,4,4,6,4"
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,spaces_detail_ui.keyboard_window_shortcut.browser_tracked_tab,ghostty,single,1,121.0,121,121,121
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,spaces_detail_ui.keyboard_window_shortcut.browser_tracked_tab,iterm2,single,1,148.0,148,148,148
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,spaces_detail_ui.keyboard_window_shortcut.process_tracked_tab,ghostty,single,1,143.0,143,143,143
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,spaces_detail_ui.keyboard_window_shortcut.process_tracked_tab,iterm2,single,1,157.0,157,157,157
2026-05-01T18:54:37Z-efe7ae6b2b12-dirty-0b5edcce0f81-yogesh-mac-2024,2026-05-01T18:54:37Z,yogesh-mac-2024,"Mac16,7",alerts-command-palette,efe7ae6b2b12112c354d981ae4a4ec75ec8171e0,dirty,0b5edcce0f819440ce26b7c37f234e67dd69fc7f4a2feb7f6c944769c07bd836,terminal_tracked_tab.keyboard_cycle_next.browser_tracked_tab,ghostty,primary,1,144.0,144,144,144
